"NGA","PolID","Date","PropCoded","PolPop","PolTerr","CapPop","AdmLev","MilLev","ReligLev","SettlHier","ProfOfficer","ProfSoldier","ProfPriest","FullTBur","ExamSyst","MeritProm","GovtBldg","Court","LegCode","Judge","Lawyer","Irrigation","WaterSuppl","Market","FoodStor","Road","Bridge","Canal","Port","Mine","Courier","PostStation","PostService","Mnemonic","NonWRecord","WRecord","Script","NonPhWrit","PhAlph","Lists","Calendar","SacrTxt","ReligLit","PractLit","History","Philosophy","SciLit","Fiction","Article","Token","PrecMetal","ForCoin","IndigCoin","PaperCurr","SpecFreqLR","PartFreqLR","AudFreqLR","OrthopraxyLR","OrthodoxyLR","SpecFreqWR","PartFreqWR","AudFreqWR","OrthopraxyWR","OrthodoxyWR","SpecFreqFR","PartFreqFR","AudFreqFR","OrthopraxyFR","OrthodoxyFR","SpecFreqER","PartFreqER","AudFreqER","OrthopraxyER","OrthodoxyER","SpecFreqDR","PartFreqDR","AudFreqDR","OrthopraxyDR","OrthodoxyDR","Monotheism","Omnipresence","Omniscience","Omnipotence","HighGods","SEHarm","SEFair","SERecip","SEProperty","SEKinship","SEIngroup","SERespect","SEBravery","SEPurity","SEGeneral","SEAmoral","SEAmoral","HeredStatus"
"Cahokia","USMisEW","-500","88.2","37.4583993203653",NA,"46.4004214259758","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisEW","-400","88.2","37.4583993203653",NA,"46.4004214259758","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisEW","-300","88.2","37.4583993203653",NA,"46.4004214259758","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisEW","-200","88.2","37.4583993203653",NA,"46.4004214259758","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisMW","-100","88.2","34.3923072942616",NA,"47.5802324400443","0.987610148919464","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisMW","0","88.2","34.3923072942616",NA,"47.5802324400443","0.987610148919464","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisMW","100","88.2","34.3923072942616",NA,"47.5802324400443","0.987610148919464","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisMW","200","88.2","34.3923072942616",NA,"47.5802324400443","0.987610148919464","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisRo","300","88.2","46.4732610607811",NA,"52.6839104428561","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisRo","400","88.2","46.4732610607811",NA,"52.6839104428561","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisMu","500","88.2","32.3628004167052",NA,"39.508429360739","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisPa","600","88.2","42.860435973609",NA,"44.444197089655","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisPa","700","88.2","42.860435973609",NA,"44.444197089655","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisSp","800","90.2","465.627191252326","201.411773292514","438.609381957346","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","0","0","1","0","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisME","900","82.4","459.519011494549","124.921161804157","388.5279177358","2","1","2","2","0","0","1",NA,"0",NA,NA,NA,NA,NA,"0","0","0","0","0.9","1","0","0","0","1","0.9","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0.9","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisME","1000","82.4","459.519011494549","124.921161804157","388.5279177358","3","1","3","3","0","0","1",NA,"0",NA,NA,NA,NA,NA,"0","0","0","0","0.9","1","0","0","0","1","0.9","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0.9","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USCahoE","1100","78.4","52416.8329699993","2787.00406676909","14750.5494166032","3.37949245815511","2","3","4",NA,NA,"1",NA,"0",NA,NA,NA,NA,NA,"0","0","0","0","1","1","0","0","0","1","0.9","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0.9","0","0","0","0","2","2",NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6",NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USCahoL","1200","78.4","44978.6984120335","1939.97869328889","10005.6834619857","3.43271179666075","2","3","4",NA,NA,"1",NA,"0",NA,NA,NA,NA,NA,"0","0","0","0","1","1","0","0","0","1","0.9","0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0.9","0","0","0","0","2","2",NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6",NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USMisSd","1300","76.5","12282.0588520987","645.819695752866","6161.09790204838","3","2","3","3",NA,NA,"1",NA,"0",NA,NA,NA,NA,NA,"0","0","0","0","0.9","1","0","0","0","1",NA,"0","0",NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","1","0.9","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USOneot","1400","70.6",NA,NA,"200","1","0.900719514734653","1","2",NA,NA,"0",NA,"0.1",NA,NA,"0.1","0.1","0.1","0.1","0.1",NA,"0.1","1","0.1","0.1","0.1","0.1","0.9",NA,NA,NA,NA,NA,"0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.9","0.9",NA,"0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USOneot","1500","70.6",NA,NA,"200","1","0.900719514734653","1","2",NA,NA,"0",NA,"0.1",NA,NA,"0.1","0.1","0.1","0.1","0.1",NA,"0.1","1","0.1","0.1","0.1","0.1","0.9",NA,NA,NA,NA,NA,"0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.9","0.9",NA,"0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USOneot","1600","70.6",NA,NA,"2508.67740225851","1","0.900719514734653","1","2",NA,NA,"0",NA,"0.1",NA,NA,"0.1","0.1","0.1","0.1","0.1",NA,"0.1","1","0.1","0.1","0.1","0.1","0.9",NA,NA,NA,NA,NA,"0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.9","0.9",NA,"0.1","0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cahokia","USIllin","1700","68.6","9306.93927310451","17367.192197741",NA,"2","2","1","1",NA,NA,NA,NA,"0.1",NA,NA,"0","0","0","0.1","0.1",NA,NA,NA,"0.1","0.1","0.1","0.1","0.9",NA,NA,NA,"1","1","0.1","0.1",NA,"0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.9","0.9",NA,NA,"0.1","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhFunaE","300","84.3",NA,"257034","2000","3","2","2","3","0.1","0.1","1","0.9","0","0","0.9","1","1","0.9","0.9","1","1","0.9","1","1","0.9","1","1","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","1","1","1","1","1","1","1",NA,"1","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhFunaE","400","84.3",NA,"257034","2000","3","2","2","3","0.1","0.1","1","0.9","0","0","0.9","1","1","0.9","0.9","1","1","0.9","1","1","0.9","1","1","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","1","1","1","1","1","1","1",NA,"1","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhFunaE","500","84.3",NA,"257034","2000","3","2","2","3","0.1","0.1","1","0.9","0","0","0.9","1","1","0.9","0.9","1","1","0.9","1","1","0.9","1","1","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","1","1","1","1","1","1","1",NA,"1","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhFunaL","600","84.3","136336.219707884","264200","2000","3","2","2","2.88527669405384","0.1","0.1","1","1","0.1","0",NA,"1","1","0.9","0.9","1","1","0.1","1","1","0.9","1","1","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","1","1","1","1","1","1","1",NA,"1","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhChenl","700","80.4",NA,"531000","60000","4","4","6","4","1","1","1","1","0.1","0",NA,"1","1","0.9","0.9","1","1","0.1","1","1","0.9","1","1","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","0.9","1","1","1","1","1","1",NA,"1","0","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhChenl","800","80.4",NA,"531000","300000","4","4","6","4","1","1","1","1","0.1","0",NA,"1","1","0.9","0.9","1","1","0.1","1","1","0.9","1","1","1",NA,NA,NA,NA,NA,"1","1",NA,"1","1","0.9","1","1","1","1","1","1",NA,"1","0","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhAngkE","900","96.1",NA,"916847","400000","5","6","6","5","1","1","1","1","0.1","0.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","0.9","1","0","1","1","0","0","2","2","2",NA,NA,"6","6",NA,NA,NA,"6","6",NA,NA,NA,"2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhAngkE","1000","94.1",NA,"916847",NA,"5","6","6","5","1","1","1","1","0.1","0.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","0.9","1","0","1","1","0","0","2","2","2",NA,NA,"6","6",NA,NA,NA,"6","6",NA,NA,NA,"2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhAngkC","1100","98","1500000","939245","951074.263666476","5","6","6","6","1","1","1","1","0","0.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","0.9","1","0","1","1","0","0","2","2","2",NA,NA,"6","6",NA,NA,NA,"6","6",NA,NA,NA,"2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodian Basin","KhAngkC","1200","98","1500000","939245","951074.263666476","5","6","6","6","1","1","1","1","0","0.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","0.9","1","0","1","1","0","0","2","2","2",NA,NA,"6","6",NA,NA,NA,"6","6",NA,NA,NA,"2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
