"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
-4.34371321861389,-4.44153771844521,-4.37880056628299,-4.28575480310589,-4.11028245439386,-4.33891628343999,-4.49090793955648,-4.49413160477829,-4.39318012582509,-4.47148735587906,-4.23464213979516,-4.21006874827051,-4.37975789710522,-3.63619883231214,-3.45229995974235,-4.55709113064793,-4.27467452763928,-4.04334970618079,-4.28303223278461,-4.47356635487356
-3.81256966527144,-3.74421009876538,-3.46210690917352,-3.63863768345588,-3.94598092487023,-3.40552300641559,-2.96966544337261,-3.81119894864173,-3.48862231309852,-3.52138882955067,-3.53091208789482,-2.92644782028566,-3.90465389018622,-3.91812595442575,-3.74533934893839,-3.85878527997673,-3.8628992353331,-3.86558362055645,-3.54761014097777,-3.71193761201949
-3.24024075167754,-2.96638658809963,-3.10366295266292,-3.41237825167873,-3.18529582508876,-3.04322517980162,-3.06738943416441,-3.09057781830294,-3.11946437883314,-3.38882515806257,-3.29097515231988,-3.20893770554489,-3.16158377176857,-3.17313112386039,-3.31182669611573,-2.99137996195108,-3.40010408994904,-2.94919386598724,-3.26473639072526,-3.2248528845226
0.855117104253097,0.791607321541912,0.828097418865381,1.1338252750234,0.73326395400493,0.824714295196248,0.729854085022274,0.768860981456486,0.766315822692942,0.722581219164855,0.733342277736168,0.689740664870613,0.88537338255243,0.919829301375939,0.720343838999604,0.859459268475557,1.04807721031432,0.696986629441543,0.9181639883781,0.790217440863644
0.612976071896237,0.59243162564383,0.780776996770404,0.784238302100766,0.765086502560487,0.789814374514456,0.7830418727463,0.788102280587859,0.766115294905342,0.782570301736275,0.581836829996607,0.582320728153126,0.789618053004739,0.778856461774042,0.631946010729049,0.548852014672642,0.793499233382033,0.656369346119674,0.789245283174564,0.771704844550007
1.82967055895826,1.71613761167958,1.98556539307453,1.86394590488101,1.79580530717443,1.90465458260317,1.61377566157483,1.7137472141358,1.75401248967653,1.97137784918654,1.87948705229367,1.77799546466159,1.84241558069147,2.02662571974666,1.8186323549903,1.95894097381032,1.85741518199348,1.77015437838361,1.919627755933,1.86997413660192
2.17338612581292,2.52250246695125,2.2782983259362,2.1903218794362,2.06285759100301,2.15165507672661,2.14933487713171,2.16908975267578,2.15504330400905,2.13491699113723,2.02280231733519,2.21434268602444,2.2476789726028,2.13856775698532,2.18360821296667,2.15997476422641,2.05381254555973,2.20880054418728,2.03882497522838,2.0321433111938
2.48004920463239,2.54518330372487,2.4749828371559,2.5255392909821,2.58468564043838,2.63968311925667,2.68184371179132,2.69961761568407,2.80152049230467,2.56111963808359,2.67925763078659,2.58672359394729,2.73916739781707,2.27446536402481,2.56347696556473,2.63358299989592,2.58781666273975,2.48154984659905,2.49420745651873,2.62688784940472
2.31082692895443,2.31929429348714,2.37964252356898,2.3723626704201,2.54040269232063,2.40206476005198,2.54228977033628,2.39444661364408,2.55798181899216,2.51078024855029,2.75110237902783,2.285128165753,2.33761761500929,2.21905203503528,2.48276266863214,2.407348706047,2.46719093580434,2.32466929691462,2.45627785344631,2.50472138619132
2.54742000425793,2.52621981590738,2.50498099534427,2.49787469561375,2.54150284416057,2.50577839210962,2.53570032714814,2.50816027992307,2.53369235730147,2.53776359896593,2.52410866391934,2.49673780704312,2.52912216373534,2.53468707905414,2.52484986339498,2.54923773994109,2.52443292885702,2.50847272398678,2.52978072605209,2.49754910867232
2.32594294243149,2.25920685515675,2.37748613925778,2.29651312216283,2.23160061858529,2.31688874144539,2.2344128003071,2.11976639544813,2.34955939983771,2.2402054892959,2.29628134223612,2.30287624137646,2.26490087324981,2.1175418811688,2.16975983412072,2.06621778793957,2.29258681453751,2.4606921578312,2.21375588047783,2.48400370573207
2.14664095661148,2.3921975594753,2.31574878945559,2.39206513529179,2.27207209398933,2.22080207118849,2.26412968203695,2.10945751354489,2.46105621485652,2.34158164533978,2.42258550974518,2.33083554148914,2.29212376180723,2.43124516454451,1.94881072987495,2.3918756840415,2.44866253743138,2.27433904934282,2.35095716123425,2.3021851376476
2.35299465888543,2.34295047676506,2.14714597812054,2.26266436650629,2.20041213066013,2.15822229605933,2.09116313824348,2.23775372437456,2.42901164737066,1.96808748167355,2.17734766651384,2.32640708022255,2.22813248449346,2.30513467100669,2.33190153440659,2.30468832933331,2.28307432752481,2.13823042947619,2.2963861493776,2.09068839559146
2.20203048168661,2.03215640572628,2.24858367657804,2.18021323658396,2.28280258258995,2.08000230050441,2.06956210214748,2.28429851276442,2.07152926979191,2.24362119853841,2.33319746251568,2.17322759045332,2.25307575072318,2.15899306196826,1.78274404358914,2.49413913318804,2.16791170362794,2.26868723686972,2.25593147827234,2.08301890066299
2.0211742674331,2.0354423399125,2.08368159239904,2.08755880321109,2.04860882367709,2.06016219304247,2.0564479334486,2.08209061295977,2.05945027788969,2.06228423757245,2.03415733745068,2.05533295044667,2.02422800129939,2.09115016728766,2.06164700089258,2.04873602266432,2.06708427431065,1.96529653158239,2.03323550172971,2.06891026394254
