"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"levels",0.330306135600835,-0.191327897107841,-0.192196590031764,-0.149913009982905,-0.888450695329308,-0.0428533251993157,0.0567347903666145,0.0174955779196662,0.0131177587379138
"government",0.3350069092956,0.137993685126887,-0.499406574418852,0.112128679670946,0.166818088829331,-0.444151172091834,-0.615557336175245,-0.000806999924128027,0.0523289825290779
"infrastr",0.334155290377434,0.217683503839438,-0.504351664431968,-0.108183180419917,0.251290538211294,0.00596619829461914,0.697445807619108,-0.00096970742117572,0.158952216446734
"writing",0.332286891133887,0.400489133214445,0.306673625742604,0.43573556194094,-0.118233830843356,0.252970327363834,-0.0700052118189467,-0.327363908774666,0.505211440645512
"texts",0.348351361053565,0.358254033570073,0.111774234502464,0.277897404021796,-0.0306826660273259,0.21218632583894,0.0100662939104924,0.389327943798681,-0.680399066033356
"money",0.31144577769518,0.310583558360005,0.449518806620566,-0.732299942173049,0.0828908124436276,-0.210294364635402,-0.0788291075323476,0.076514784372983,0.0710342946265484
"PolPop",0.35098633524663,-0.346495243498497,0.0592179659183517,-0.0736261713020502,0.157363467923665,-0.00721933511278122,0.0452103491153175,-0.824526826263137,-0.202776269281761
"PolTerr",0.315462312728539,-0.550676063400508,0.358275854827269,0.301489744531748,0.122267231874524,0.416439964521809,0.205277456887799,0.372321328855914,0.0940649879982515
"CapPop",0.333982240621836,-0.374653392441245,-0.210264794825867,-0.13467347197286,0.209766821967633,-0.634467454338946,-0.375693230624908,0.297526555424836,0.0975907042243536
"levels",0.329711852824364,-0.155537080070009,-0.310662348019516,-0.100001278624417,-0.86504544880974,0.071452616749594,0.079209023244758,0.0293238634563054,0.00662550742966788
"government",0.333289396593096,0.243582662329339,-0.426191954894422,0.133193357016686,0.216064164056636,0.539019393040434,-0.540209398244036,-0.00437720868989305,0.0336842543451591
"infrastr",0.335301574900932,0.238886972041666,-0.431416512932257,-0.070063864923096,0.311519277920654,-0.0627453128990219,0.709719603593396,0.0744756023132692,0.171017396154411
"writing",0.333757050510687,0.366543282022639,0.368213585173273,0.409556760279354,-0.149257869739524,-0.249130455644473,-0.0896941671502087,-0.19273237270996,0.566921125661956
"texts",0.350418129257342,0.327169273384085,0.187297297003744,0.276734397312253,-0.0371131189554391,-0.190582789274732,0.029956012338035,0.184866014726526,-0.765332089930918
"money",0.315186415767242,0.233123919504019,0.434727448088681,-0.780113991025803,0.0244629533060237,0.161259251616965,-0.0626673850887658,0.123545192190212,0.0543265162814884
"PolPop",0.35116730583484,-0.330990907631188,0.150874963913495,-0.0365306360477295,0.120640463067759,0.0157721870849217,-0.021107157510032,-0.819229577123455,-0.237998539755099
"PolTerr",0.317982413856123,-0.542786475094998,0.374620200620494,0.288273613217596,0.19683107634003,-0.229697336316496,0.34762992425413,0.391857844071565,0.122170303348638
"CapPop",0.337539834931792,-0.343700161079489,-0.187663526162113,-0.11614919777299,0.0804368841028716,0.59359739552914,-0.530744026716531,0.261870673260748,0.100674685004585
"levels",0.3304543523356,-0.191340747431112,-0.283771880317831,-0.172558283297269,-0.820573046500289,-0.241500380441467,0.100658819124251,0.0456757791449321,0.0021829194262209
"government",0.333682530854373,0.142190486383085,-0.445512863944592,0.059842924496495,0.386750452620311,-0.626119636832941,-0.348132391698643,0.0425170295175738,0.0420639329320307
"infrastr",0.335799430907523,0.214963755048277,-0.444611384628502,-0.113264126532016,0.247441008399846,0.323520130004306,0.66522230163752,-0.0361158386635176,0.144235532942363
"writing",0.332027579867917,0.407179407803548,0.26717166800197,0.464831588954643,-0.208578946669549,0.10297169655785,-0.147872346078706,-0.184621631723523,0.571361343524302
"texts",0.347838050335134,0.352655948879044,0.120446877045895,0.316362145393345,-0.0807635599237935,0.132920889213277,-0.0145744581345163,0.224181886945594,-0.751923777098497
"money",0.311603235539238,0.290685294338268,0.488981825619312,-0.73466556212693,0.0778607362242816,-0.10652634812217,-0.0330300710213263,0.131122411337902,0.0622458019412143
"PolPop",0.353126372116929,-0.33729520403419,0.0978670717396738,-0.0542867202626526,0.14024888111369,-0.0385479037879471,-0.0734810895777884,-0.732414299491501,-0.431303643339637
"PolTerr",0.314777806729865,-0.605688203340608,0.280445131928252,0.278288472100472,0.00674269555565021,0.385788987673374,0.335896988542948,0.281786574858733,0.191973225637982
"CapPop",0.338288615780438,-0.326349055825212,-0.104955289712078,-0.160707733281883,0.30163763003764,-0.600329333023571,-0.38415845202092,0.329361935375203,0.186485788047618
"levels",0.327584415435187,-0.105479090610946,-0.293944089077953,-0.226932723646724,-0.856979486956044,-0.0871592298869908,0.0343434435657796,0.00965455932122747,0.0194362700306722
"government",0.33506451822159,0.147652187291451,-0.471994645137995,0.0643449600333289,0.175639142831449,0.60940219347717,-0.479603642158697,0.0303451559970026,0.076490243316584
"infrastr",0.334761186422882,0.237101498959147,-0.427555562518692,-0.147673356418644,0.325738291893132,-0.110313921944835,0.701193078684332,-0.0635866979553213,0.114529690855546
"writing",0.333218177172081,0.364094211547089,0.270590481574185,0.511825199773948,-0.120720836775906,-0.205690313008917,-0.0968976984169307,-0.310712891685382,0.508333667350743
"texts",0.349339311763982,0.316896071496113,0.125668960226647,0.350138269442502,-0.0395519938487669,-0.113175106325224,0.0245049849286535,0.40774828744679,-0.676695873138501
